-0.000588 -0.000749 0.019625, -0.538388 -0.741028 -0.401267
-0.000552 -0.000814 0.019696, -0.538388 -0.741028 -0.401267
-0.000420 -0.000855 0.019625, -0.372555 -0.836772 -0.401267
-0.000370 -0.000911 0.019696, -0.372555 -0.836772 -0.401267
-0.000233 -0.000924 0.019625, -0.190439 -0.895945 -0.401267
-0.000173 -0.000969 0.019696, -0.190439 -0.895945 -0.401268
-0.000036 -0.000952 0.019625, 0.000000 -0.915961 -0.401268
0.000032 -0.000983 0.019696, -0.000000 -0.915961 -0.401268
0.000163 -0.000939 0.019625, 0.190439 -0.895945 -0.401268
0.000236 -0.000955 0.019696, 0.190439 -0.895945 -0.401267
0.000355 -0.000884 0.019625, 0.372555 -0.836772 -0.401267
0.000429 -0.000885 0.019696, 0.372555 -0.836772 -0.401267
0.000531 -0.000791 0.019625, 0.538389 -0.741028 -0.401267
0.000604 -0.000777 0.019696, 0.538388 -0.741028 -0.401267
0.000684 -0.000664 0.019625, 0.680692 -0.612897 -0.401267
0.000752 -0.000634 0.019696, 0.680691 -0.612898 -0.401268
0.000807 -0.000507 0.019625, 0.793245 -0.457981 -0.401268
0.000868 -0.000464 0.019696, 0.793245 -0.457980 -0.401267
0.000895 -0.000328 0.019625, 0.871131 -0.283047 -0.401267
0.000945 -0.000273 0.019696, 0.871131 -0.283047 -0.401268
0.000943 -0.000135 0.019625, 0.910943 -0.095744 -0.401268
0.000981 -0.000071 0.019696, 0.910943 -0.095744 -0.401267
0.000954 0.000071 0.019845, 0.794578 0.083513 0.601392
0.000889 0.000129 0.019922, 0.794577 0.083514 0.601392
0.000918 0.000267 0.019845, 0.759851 0.246890 0.601392
0.000843 0.000311 0.019922, 0.759850 0.246890 0.601392
0.000843 0.000453 0.019845, 0.691915 0.399477 0.601392
0.000760 0.000480 0.019922, 0.691915 0.399477 0.601392
0.000730 0.000618 0.019845, 0.593739 0.534605 0.601392
0.000643 0.000627 0.019922, 0.593738 0.534605 0.601392
0.000586 0.000756 0.019845, 0.469613 0.646367 0.601392
0.000499 0.000747 0.019922, 0.469614 0.646367 0.601392
0.000416 0.000861 0.019845, 0.324964 0.729881 0.601392
0.000333 0.000834 0.019922, 0.324964 0.729881 0.601392
0.000228 0.000929 0.019845, 0.166112 0.781495 0.601392
0.000152 0.000885 0.019922, 0.166112 0.781495 0.601392
0.000029 0.000956 0.019845, 0.000000 0.798954 0.601392
-0.000036 0.000898 0.019922, -0.000000 0.798954 0.601392
-0.000170 0.000941 0.019845, -0.166112 0.781495 0.601392
-0.000221 0.000871 0.019922, -0.166112 0.781495 0.601392
-0.000362 0.000885 0.019845, -0.324964 0.729881 0.601392
-0.000398 0.000806 0.019922, -0.324964 0.729881 0.601392
-0.000538 0.000791 0.019845, -0.469613 0.646368 0.601392
-0.000556 0.000705 0.019922, -0.469614 0.646367 0.601392
-0.000691 0.000662 0.019845, -0.593738 0.534605 0.601392
-0.000691 0.000574 0.019922, -0.593738 0.534605 0.601392
-0.000813 0.000503 0.019845, -0.691915 0.399477 0.601392
-0.000795 0.000418 0.019922, -0.691915 0.399477 0.601392
-0.000900 0.000323 0.019845, -0.759850 0.246890 0.601392
-0.000865 0.000244 0.019922, -0.759850 0.246890 0.601392
-0.000948 0.000129 0.019845, -0.794577 0.083513 0.601392
-0.000896 0.000058 0.019922, -0.794577 0.083514 0.601392
-0.000954 -0.000071 0.019845, -0.794578 -0.083513 0.601392
-0.000889 -0.000129 0.019922, -0.794577 -0.083514 0.601392
-0.000918 -0.000267 0.019845, -0.759851 -0.246890 0.601392
-0.000843 -0.000311 0.019922, -0.759850 -0.246890 0.601392
-0.000843 -0.000453 0.019845, -0.691915 -0.399477 0.601392
-0.000760 -0.000480 0.019922, -0.691915 -0.399477 0.601392
-0.000730 -0.000618 0.019845, -0.593739 -0.534605 0.601392
-0.000643 -0.000627 0.019922, -0.593738 -0.534605 0.601392
-0.000586 -0.000756 0.019845, -0.469613 -0.646367 0.601392
-0.000499 -0.000747 0.019922, -0.469614 -0.646367 0.601392
-0.000416 -0.000861 0.019845, -0.324964 -0.729881 0.601392
-0.000333 -0.000834 0.019922, -0.324964 -0.729881 0.601392
-0.000228 -0.000929 0.019845, -0.166112 -0.781495 0.601392
-0.000152 -0.000885 0.019922, -0.166112 -0.781495 0.601392
-0.000029 -0.000956 0.019845, 0.000000 -0.798954 0.601392
0.000036 -0.000898 0.019922, -0.000000 -0.798954 0.601392
0.000170 -0.000941 0.019845, 0.166112 -0.781495 0.601392
0.000221 -0.000871 0.019922, 0.166112 -0.781495 0.601392
0.000362 -0.000885 0.019845, 0.324964 -0.729881 0.601392
0.000398 -0.000806 0.019922, 0.324964 -0.729881 0.601392
0.000538 -0.000791 0.019845, 0.469613 -0.646368 0.601392
0.000556 -0.000705 0.019922, 0.469614 -0.646367 0.601392
0.000691 -0.000662 0.019845, 0.593738 -0.534605 0.601392
0.000691 -0.000574 0.019922, 0.593738 -0.534605 0.601392
0.000813 -0.000503 0.019845, 0.691915 -0.399477 0.601392
0.000795 -0.000418 0.019922, 0.691915 -0.399477 0.601392
0.000900 -0.000323 0.019845, 0.759850 -0.246890 0.601392
0.000865 -0.000244 0.019922, 0.759850 -0.246890 0.601392
0.000948 -0.000129 0.019845, 0.794577 -0.083513 0.601392
0.000896 -0.000058 0.019922, 0.794577 -0.083514 0.601392
